Track ID,Name,Artist,Album,Genre,Total Time (ms),Date Added,Play Count,Skip Count
1881,Dujem,Butrint Imeri,Dujem - Single,Pop,157442,2024-06-04 16:07:55,14.0,7.0
1883,Özünlə Apar (feat. İlkin Dovletov),Fahree,Özünlə Apar (feat. İlkin Dovletov) - Single,Pop,182091,2024-06-07 06:58:54,6.0,5.0
1885,Lej,DON XHONI & Dhurata Dora,Lej - Single,Dance,148000,2024-06-06 22:00:16,37.0,1.0
1887,Hala,DON XHONI & Era Istrefi,Hala - Single,Hip-Hop/Rap,158750,2024-06-06 22:02:20,26.0,4.0
1889,Si Mua,Dafina Zeqiri & Elgit Doda,Si Mua - Single,Pop,171429,2024-06-06 22:03:06,11.0,7.0
1891,Sock It 2 Me,Da Brat & Missy Elliott,Supa Dupa Fly,Hip-Hop/Rap,266333,2024-06-20 02:03:47,1.0,3.0
1893,Alone,Liquideep,Fabrics of the Heart,House,216360,2024-06-21 07:46:59,2.0,3.0
1895,Fairytale,Liquideep,Oscillations,House,306040,2024-06-21 16:47:11,4.0,3.0
1897,Lately,Sergio,Lately - Single,R&B/Soul,178086,2024-06-26 20:38:47,9.0,2.0
1899,GIRLS,The Kid LAROI,GIRLS - Single,Pop,152980,2024-06-28 17:55:15,13.0,1.0
1901,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY - Single,Hip-Hop/Rap,155152,2024-06-29 03:59:13,10.0,5.0
1903,Move,"Adam Port, Stryv & Malachiii",Move - Single,Afro House,177599,2024-06-29 04:07:15,24.0,4.0
1905,Toto (feat. RAF Camora),Noizy,Toto (feat. RAF Camora) - Single,Hip-Hop/Rap,205140,2024-06-29 21:38:24,14.0,5.0
1907,Kalon,Lumi B & Dafina Zeqiri,Kalon - Single,Hip-Hop/Rap,193392,2024-07-01 15:57:36,14.0,4.0
1909,Smack That (feat. Eminem),Akon,Konvicted (Complete Edition),R&B/Soul,212360,2024-07-03 21:49:07,9.0,
1911,Right Now (Na Na Na),Akon,Freedom,R&B/Soul,240747,2024-07-03 21:49:32,9.0,7.0
1913,Love Me (feat. Drake & Future),Lil Wayne,I Am Not a Human Being II,Hip-Hop/Rap,255053,2024-07-03 21:51:02,3.0,8.0
1915,Hate It Or Love It (feat. 50 Cent),The Game,The Documentary,Hip-Hop/Rap,206400,2024-07-03 22:01:26,13.0,
1917,Baby By Me (feat. Ne-Yo),50 Cent,Before I Self Destruct (Bonus Track Version),Hip-Hop/Rap,213360,2024-07-04 07:03:20,5.0,3.0
1919,Aston Martin Music (feat. Drake & Chrisette Michele),Rick Ross,Teflon Don,Hip-Hop/Rap,270627,2024-07-03 22:15:33,6.0,3.0
1921,Your Love,The Outfield,Play Deep,Rock,223458,2024-07-05 19:50:24,2.0,3.0
1923,Caribbean Queen (No More Love On the Run),Billy Ocean,Suddenly (Expanded Edition),Pop,475227,2024-07-17 10:19:41,,5.0
1925,One Night in Bangkok,Murray Head,Emotions (My Favourite Songs),Pop,236067,2024-07-30 13:48:55,11.0,1.0
